Last Name,First Name,Category,Project,Year,Show,Award
JACKSON,SAMUEL L.,MALE SUPPORT IN A MOTION PICTURE ,PULP FICTION,1995,1,NO
LANDAU,MARTIN,MALE SUPPORT IN A MOTION PICTURE ,ED WOOD,1995,1,YES
PALMINTERI,CHAZZ,MALE SUPPORT IN A MOTION PICTURE ,BULLETS OVER BROADWAY,1995,1,NO
SINISE,GARY,MALE SUPPORT IN A MOTION PICTURE ,FORREST GUMP,1995,1,NO
TURTURRO,JOHN,MALE SUPPORT IN A MOTION PICTURE ,QUIZ SHOW,1995,1,NO
GARNER,JAMES,MALE TV MOVIE OR MINISERIES,THE ROCKFORD FILES:I STILL LOVE L.A.,1995,1,NO
JULIA,RAUL,MALE TV MOVIE OR MINISERIES,THE BURNING SEASON,1995,1,YES
MALKOVICH,JOHN,MALE TV MOVIE OR MINISERIES,HEART OF DARKNESS,1995,1,NO
SINISE,GARY,MALE TV MOVIE OR MINISERIES,STEPHEN KING’S THE STAND,1995,1,NO
WHITAKER,FOREST,MALE TV MOVIE OR MINISERIES,THE ENEMY WITHIN,1995,1,NO
REDFORD,ROBERT,LIFE ACHIEVEMENT AWARD,N/A,1995,2,YES
ALLEN,JOAN,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
ANGELOU,MAYA,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
BACON,KEVIN,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
BANCROFT,ANNE,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
BEDFORD,BRIAN,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
BOOTHE,POWERS,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
BURSTYN,ELLEN,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
DeVITO,DANNY,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
DUNN,KEVIN,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
FARINA,DENNIS,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
FINKEL,FYVUSH,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
GANDOLFINI,JAMES,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
GISH,ANNABETH,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
GOLDWYN,TONY,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
GRANT,HUGH,CAST IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,NO
HACKMAN,GENE,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
HAGMAN,LARRY,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
HANKS,TOM,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
HARRIS,ED,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
HARRIS,ED,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
HERRMANN,ED,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
HOPKINS,ANTHONY,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
HOSKINS,BOB,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
KAHN,MADELINE,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
LINDO,DELROY,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
MARSHALL,E.G.,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
MATHIS,SAMANTHA,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
NELLIGAN,KATE,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
PAXTON,BILL,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
PAYMER,DAVID,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
PAYMER,DAVID,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
PIERCE,DAVID HYDE,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
QUINLAN,KATHLEEN,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
RICKMAN,ALAN,CAST IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,NO
RUSSO,RENE,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
RYDER,WINONA,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
SIMMONS,JEAN,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
SINISE,GARY,CAST IN A MOTION PICTURE,APOLLO 13,1996,2,YES
SMITH,LOIS,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
SORVINO,PAUL,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
STEENBURGEN,MARY,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
THOMPSON,EMMA,CAST IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,NO
TRAVOLTA,JOHN,CAST IN A MOTION PICTURE,GET SHORTY,1996,2,NO
WALSH,J.T.,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
WINSLET,KATE,CAST IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,NO
WOODARD,ALFRE,CAST IN A MOTION PICTURE,HOW TO MAKE AN AMERICAN QUILT,1996,2,NO
WOODS,JAMES,CAST IN A MOTION PICTURE,NIXON,1996,2,NO
ALEXANDER,JASON,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1996,2,NO
ANISTON,JENNIFER,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
BARANSKI,CHRISTINE,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
BUTLER,DAN,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
COX,COURTENEY,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
GILPIN,PERI,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
GRAMMER,KELSEY,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
HUNT,HELEN,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
KENZLE,LEILA,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
KUDROW,LISA,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
LEBLANC,MATT,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
LEEVES,JANE,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
LOUIS-DREYFUS,JULIA,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1996,2,NO
MAHONEY,JOHN,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
PANKOW,JOHN,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
PERRY,MATTHEW,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
PFEIFFER,DEDEE,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
PIERCE,DAVID HYDE,ENSEMBLE IN A COMEDY SERIES,FRASIER,1996,2,NO
RAMSAY,ANNE,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
REISER,PAUL,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
RICHARDS,MICHAEL,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1996,2,NO
ROSENBERG,ALAN,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
SCHWIMMER,DAVID,ENSEMBLE IN A COMEDY SERIES,FRIENDS,1996,2,YES
SEINFELD,JERRY,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1996,2,NO
SHEPHERD,CYBILL,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
WITT,ALICIA,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
WOPAT,TOM,ENSEMBLE IN A COMEDY SERIES,CYBILL,1996,2,NO
AQUINO,AMY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
ARKIN,ADAM,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
BAKER,KATHY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
BERG,PETER,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
BRATT,BENJAMIN,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
BROOK,JAYNE,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
CHEADLE,DON,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
CLAPP,GORDON,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
CLOONEY,GEORGE,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
CONNELL,KELLY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
CURTIS-HALL,VONDIE,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
DELANEY,KIM,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
EDWARDS,ANTHONY,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
ELIZONDO,HECTOR,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
FINKEL,FYVUSH,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
FRANZ,DENNIS,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
GIBSON,THOMAS,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
HART,ROXANNE,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
HENNESSEY,JILL,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
HILL,STEVEN,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
HOLLY,LAUREN,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
LAHTI,CHRISTINE,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
LaSALLE,ERIQ,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
LAWRENCE,SHARON,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
MACNICOL,PETER,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
MANDYLOR,COSTAS,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
MARGULIES,JULIANNA,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
MATLIN,MARLEE,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
MCDANIEL,JAMES,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
MERKERSON,S. EPATHA,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
MICELI,JUSTINE,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
NOTH,CHRIS,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
O'GRADY,GAIL,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
ORBACH,JERRY,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
PATINKIN,MANDY,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
REUBEN,GLORIA,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
SHENKAROW,JUSTIN,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
SHERIDAN,JAMEY,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
SKERRITT,TOM,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
SMITS,JIMMY,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
STRINGFIELD,SHERRY,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
TURTURRO,NICHOLAS,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
WALSTON,RAY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
WATERSTON,SAM,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1996,2,NO
WYLE,NOAH,ENSEMBLE IN A DRAMA SERIES,ER,1996,2,YES
WYLIE,ADAM,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1996,2,NO
BARANSKI,CHRISTINE,FEMALE IN A COMEDY SERIES,CYBILL,1996,2,YES
BERGEN,CANDICE,FEMALE IN A COMEDY SERIES,MURPHY BROWN,1996,2,NO
HUNT,HELEN,FEMALE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
KUDROW,LISA,FEMALE IN A COMEDY SERIES,FRIENDS,1996,2,NO
LOUIS-DREYFUS,JULIA,FEMALE IN A COMEDY SERIES,SEINFELD,1996,2,NO
ANDERSON,GILLIAN,FEMALE IN A DRAMA SERIES,THE X-FILES,1996,2,YES
LAHTI,CHRISTINE,FEMALE IN A DRAMA SERIES,CHICAGO HOPE,1996,2,NO
LAWRENCE,SHARON,FEMALE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
MARGULIES,JULIANNA,FEMALE IN A DRAMA SERIES,ER,1996,2,NO
WARD,SELA,FEMALE IN A DRAMA SERIES,SISTERS,1996,2,NO
ALLEN,JOAN,FEMALE LEAD IN A MOTION PICTURE,NIXON,1996,2,NO
SARANDON,SUSAN,FEMALE LEAD IN A MOTION PICTURE,DEAD MAN WALKING,1996,2,YES
SHUE,ELISABETH,FEMALE LEAD IN A MOTION PICTURE,LEAVING LAS VEGAS,1996,2,NO
STREEP,MERYL,FEMALE LEAD IN A MOTION PICTURE,THE BRIDGES OF MADISON COUNTY,1996,2,NO
THOMPSON,EMMA,FEMALE LEAD IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,NO
CHANNING,STOCKARD,FEMALE SUPPORT IN A MOTION PICTURE,SMOKE,1996,2,NO
HUSTON,ANJELICA,FEMALE SUPPORT IN A MOTION PICTURE,THE CROSSING GUARD,1996,2,NO
SORVINO,MIRA,FEMALE SUPPORT IN A MOTION PICTURE,MIGHTY APHRODITE,1996,2,NO
WINNINGHAM,MARE,FEMALE SUPPORT IN A MOTION PICTURE,GEORGIA,1996,2,NO
WINSLET,KATE,FEMALE SUPPORT IN A MOTION PICTURE,SENSE AND SENSIBILITY,1996,2,YES
CLOSE,GLENN,FEMALE TV MOVIE OR MINISERIES,SERVING IN SILENCE,1996,2,NO
FIELD,SALLY,FEMALE TV MOVIE OR MINISERIES,A WOMAN OF INDEPENDENT MEANS,1996,2,NO
HUSTON,ANJELICA,FEMALE TV MOVIE OR MINISERIES,BUFFALO GIRLS,1996,2,NO
WARD,SELA,FEMALE TV MOVIE OR MINISERIES,ALMOST GOLDEN:THE JESSICA SAVITCH STORY,1996,2,NO
WOODARD,ALFRE,FEMALE TV MOVIE OR MINISERIES,"THE PIANO LESSON, HALLMARK HALL OF FAME",1996,2,YES
ALEXANDER,JASON,MALE IN A COMEDY SERIES,SEINFELD,1996,2,NO
GRAMMER,KELSEY,MALE IN A COMEDY SERIES,FRASIER,1996,2,NO
PIERCE,DAVID HYDE,MALE IN A COMEDY SERIES,FRASIER,1996,2,YES
REISER,PAUL,MALE IN A COMEDY SERIES,MAD ABOUT YOU,1996,2,NO
RICHARDS,MICHAEL,MALE IN A COMEDY SERIES,SEINFELD,1996,2,NO
CLOONEY,GEORGE,MALE IN A DRAMA SERIES,ER,1996,2,NO
DUCHOVNY,DAVID,MALE IN A DRAMA SERIES,THE X-FILES,1996,2,NO
EDWARDS,ANTHONY,MALE IN A DRAMA SERIES,ER,1996,2,YES
FRANZ,DENNIS,MALE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
SMITS,JIMMY,MALE IN A DRAMA SERIES,NYPD BLUE,1996,2,NO
CAGE,NICOLAS,MALE LEAD IN A MOTION PICTURE,LEAVING LAS VEGAS,1996,2,YES
HOPKINS,ANTHONY,MALE LEAD IN A MOTION PICTURE,NIXON,1996,2,NO
JONES,JAMES EARL,MALE LEAD IN A MOTION PICTURE,CRY THE BELOVED COUNTRY,1996,2,NO
